title	tomato_meter	audience_score	date	directors
The Hobbit: The Battle of the Five Armies	59	74	2014	['Peter Jackson']
Hancock	41	59	2008	['Peter Berg']
Captain Marvel	79	45	2019	['Anna Boden', 'Ryan Fleck']
Three Billboards Outside Ebbing, Missouri	90	87	2017	['Martin McDonagh']
The Matrix Revolutions	35	60	2003	['Lana Wachowski', 'Lilly Wachowski']
The Hurt Locker	97	84	2008	['Kathryn Bigelow']
Green Book	77	91	2018	['Peter Farrelly']
Lost in Translation	95	85	2003	['Sofia Coppola']
Big Hero 6	90	91	2014	['Don Hall', 'Chris Williams']
Shrek 2	89	69	2004	['Andrew Adamson', 'Kelly Asbury', 'Conrad Vernon']
Indiana Jones and the Kingdom of the Crystal Skull	78	53	2008	['Steven Spielberg']
The Maze Runner	65	68	2014	['Wes Ball']
Horrible Bosses	69	70	2011	['Seth Gordon']
Sherlock Holmes: A Game of Shadows	59	77	2011	['Guy Ritchie']
Mystic River	88	89	2003	['Clint Eastwood']
The Princess Bride	98	94	1987	['Rob Reiner']
Citizen Kane	99	90	1941	['Orson Welles']
Gangs of New York	73	81	2002	['Martin Scorsese']
We're the Millers	49	72	2013	['Rawson Marshall Thurber']
Tangled	89	87	2010	['Nathan Greno', 'Byron Howard']
Training Day	73	89	2001	['Antoine Fuqua']
Armageddon	38	73	1998	['Michael Bay']
Aquaman	65	74	2018	['James Wan']
Quantum of Solace	64	58	2008	['Marc Forster']
It's a Wonderful Life	94	95	1946	['Frank Capra']
Captain Phillips	93	89	2013	['Paul Greengrass']
Divergent	41	69	2014	['Neil Burger']
Fantastic Beasts and Where to Find Them	74	79	2016	['David Yates']
Tenet	70	76	2020	['Christopher Nolan']
Dawn of the Planet of the Apes	90	88	2014	['Matt Reeves']
The Girl with the Dragon Tattoo	86	86	2011	['David Fincher']
War of the Worlds	75	42	2005	['Steven Spielberg']
Kung Fu Panda	87	83	2008	['Mark Osborne', 'John Stevenson']
Tropic Thunder	82	70	2008	['Ben Stiller']
The Help	76	89	2011	['Tate Taylor']
This Is the End	83	71	2013	['Evan Goldberg', 'Seth Rogen']
Unbreakable	70	77	2000	['M. Night Shyamalan']
Live Free or Die Hard	82	86	2007	['Len Wiseman']
Midnight in Paris	93	83	2011	['Woody Allen']
Platoon	87	93	1986	['Oliver Stone']
Twilight	49	73	2008	['Catherine Hardwicke']
John Wick: Chapter 2	89	85	2017	['Chad Stahelski']
Amadeus	93	95	1984	['Milos Forman']
Saw	51	84	2004	['James Wan']
Vertigo	94	93	1958	['Alfred Hitchcock']
Madagascar	54	66	2005	['Eric Darnell', 'Tom McGrath']
Ready Player One	72	77	2018	['Steven Spielberg']
Terminator 3: Rise of the Machines	69	46	2003	['Jonathan Mostow']
Scott Pilgrim vs. the World	82	84	2010	['Edgar Wright']
Bruce Almighty	48	57	2003	['Tom Shadyac']
Predator	82	87	1987	['John McTiernan']
American Pie	61	61	1999	['Paul Weitz', 'Chris Weitz']
Mission: Impossible	66	71	1996	['Brian De Palma']
The Devil Wears Prada	75	76	2006	['David Frankel']
Moneyball	94	86	2011	['Bennett Miller']
Cloverfield	78	68	2008	['Matt Reeves']
Despicable Me 2	75	85	2013	['Pierre Coffin', 'Chris Renaud']
In Time	37	51	2011	['Andrew Niccol']
Transformers: Revenge of the Fallen	20	57	2009	['Michael Bay']
Cars	74	79	2006	['John Lasseter', 'Joe Ranft']
3 Idiots	100	93	2009	['Rajkumar Hirani']
The Cabin in the Woods	92	74	2011	['Drew Goddard']
The Big Short	89	88	2015	['Adam McKay']
In Bruges	84	87	2008	['Martin McDonagh']
Transformers: Dark of the Moon	35	55	2011	['Michael Bay']
Ocean's Twelve	54	60	2004	['Steven Soderbergh']
Die Hard: With a Vengeance	60	83	1995	['John McTiernan']
Ghostbusters	97	88	1984	['Ivan Reitman']
King Kong	84	50	2005	['Peter Jackson']
Signs	74	67	2002	['M. Night Shyamalan']
Friends with Benefits	68	65	2011	['Will Gluck']
The Town	92	85	2010	['Ben Affleck']
The Machinist	77	83	2004	['Brad Anderson']
American Gangster	81	87	2007	['Ridley Scott']
Easy A	85	77	2010	['Will Gluck']
Terminator Salvation	33	54	2009	['McG']
Mean Girls	84	66	2004	['Mark Waters']
The Irishman	95	86	2019	['Martin Scorsese']
The Game	76	84	1997	['David Fincher']
The Exorcist	83	87	1973	['William Friedkin']
The Equalizer	60	76	2014	['Antoine Fuqua']
Inside Man	86	85	2006	['Spike Lee']
Cloud Atlas	66	66	2012	['Tom Tykwer', 'Lana Wachowski', 'Lilly Wachowski']
22 Jump Street	84	77	2014	['Phil Lord', 'Christopher Miller']
Men in Black II	39	45	2002	['Barry Sonnenfeld']
2012	39	47	2009	['Roland Emmerich']
Fast Five	77	83	2011	['Justin Lin']
The Fighter	91	89	2010	['David O. Russell']
Dumb and Dumber	68	84	1994	['Peter Farrelly', 'Bobby Farrelly']
The Fault in Our Stars	81	85	2014	['Josh Boone']
Knocked Up	89	83	2007	['Judd Apatow']
Zack Snyder's Justice League	71	94	2021	['Zack Snyder']
127 Hours	93	85	2010	['Danny Boyle']
Maleficent	54	70	2014	['Robert Stromberg']
Collateral	86	84	2004	['Michael Mann']
Jojo Rabbit	80	94	2019	['Taika Waititi']
A Star Is Born	90	79	2018	['Bradley Cooper']
Boyhood	97	80	2014	['Richard Linklater']
Black Hawk Down	76	88	2001	['Ridley Scott']
Super 8	81	75	2011	['J.J. Abrams']
Hotel Rwanda	91	94	2004	['Terry George']
Wedding Crashers	76	70	2005	['David Dobkin']
The Fast and the Furious	54	74	2001	['Rob Cohen']
Man on Fire	38	89	2004	['Tony Scott']
The Devil's Advocate	63	80	1997	['Taylor Hackford']
Sleepy Hollow	69	80	1999	['Tim Burton']
Moon	90	89	2009	['Duncan Jones']
Home Alone 2: Lost in New York	34	61	1992	['Chris Columbus']
Once Upon a Time in America	87	93	1984	['Sergio Leone']
Being John Malkovich	94	87	1999	['Spike Jonze']
Anchorman: The Legend of Ron Burgundy	66	86	2004	['Adam McKay']
About Time	69	81	2013	['Richard Curtis']
Jackie Brown	87	85	1997	['Quentin Tarantino']
Moonrise Kingdom	93	86	2012	['Wes Anderson']
The Deer Hunter	92	92	1978	['Michael Cimino']
Ocean's Thirteen	69	75	2007	['Steven Soderbergh']
The Expendables	42	64	2010	['Sylvester Stallone']
The Lego Movie	96	87	2014	['Christopher Miller', 'Phil Lord']
Monsters University	80	81	2013	['Dan Scanlon']
Brokeback Mountain	87	82	2005	['Ang Lee']
Ferris Bueller's Day Off	80	92	1986	['John Hughes']
50 First Dates	45	65	2004	['Peter Segal']
Pineapple Express	68	73	2008	['David Gordon Green']
Raging Bull	94	93	1980	['Martin Scorsese']
Ford v Ferrari	92	98	2019	['James Mangold']
Mission: Impossible II	57	42	2000	['John Woo']
Night at the Museum	43	67	2006	['Shawn Levy']
Total Recall	82	78	1990	['Paul Verhoeven']
Yes Man	46	66	2008	['Peyton Reed']
Hellboy	81	66	2004	['Guillermo del Toro']
Hugo	93	78	2011	['Martin Scorsese']
Due Date	39	52	2010	['Todd Phillips']
The Ring	71	48	2002	['Gore Verbinski']
How to Train Your Dragon 2	91	89	2014	['Dean DeBlois']
Solo: A Star Wars Story	70	64	2018	['Ron Howard']
Die Hard 2	69	70	1990	['Renny Harlin']
National Treasure	46	76	2004	['Jon Turteltaub']
Constantine	46	72	2005	['Francis Lawrence']
The Book of Eli	46	64	2010	['Albert Hughes', 'Allen Hughes']
Click	34	66	2006	['Frank Coraci']
Pretty Woman	64	68	1990	['Garry Marshall']
Jurassic Park III	49	36	2001	['Joe Johnston']
10 Things I Hate About You	69	69	1999	['Gil Junger']
To Kill a Mockingbird	93	92	1962	['Robert Mulligan']
Fantastic Four	27	45	2005	['Tim Story']
Hitch	69	62	2005	['Andy Tennant']
Fifty Shades of Grey	25	41	2015	['Sam Taylor-Johnson']
Eyes Wide Shut	76	74	1999	['Stanley Kubrick']
Transformers: Age of Extinction	17	50	2014	['Michael Bay']
Bird Box	64	57	2018	['Susanne Bier']
Lucky Number Slevin	52	87	2006	['Paul McGuigan']
Equilibrium	41	81	2002	['Kurt Wimmer']
Chinatown	99	93	1974	['Roman Polanski']
Real Steel	60	73	2011	['Shawn Levy']
10 Cloverfield Lane	90	79	2016	['Dan Trachtenberg']
The Secret Life of Walter Mitty	52	71	2013	['Ben Stiller']
The Blind Side	66	85	2009	['John Lee Hancock']
Top Gun	58	83	1986	['Tony Scott']
North by Northwest	97	94	1959	['Alfred Hitchcock']
Jack Reacher	63	67	2012	['Christopher McQuarrie']
Lord of War	61	84	2005	['Andrew Niccol']
Meet the Parents	84	79	2000	['Jay Roach']
From Dusk Till Dawn	62	76	1996	['Robert Rodriguez']
Burn After Reading	78	65	2008	['Ethan Coen', 'Joel Coen']
Bridge of Spies	90	87	2015	['Steven Spielberg']
Shooter	47	80	2007	['Antoine Fuqua']
Kong: Skull Island	75	69	2017	['Jordan Vogt-Roberts']
RED	72	72	2010	['Robert Schwentke']
The Expendables 2	67	67	2012	['Simon West']
Taken 2	22	52	2012	['Olivier Megaton']
Magnolia	83	89	1999	['Paul Thomas Anderson']
Before Sunrise	100	93	1995	['Richard Linklater']
300: Rise of an Empire	45	51	2014	['Noam Murro']
Pitch Perfect	81	83	2012	['Jason Moore']
As Good as It Gets	85	86	1997	['James L. Brooks']
Annihilation	88	66	2018	['Alex Garland']
Gattaca	83	87	1997	['Andrew Niccol']
Serenity	82	91	2005	['Joss Whedon']
Apocalypto	66	79	2006	['Mel Gibson']
Notting Hill	83	79	1999	['Roger Michell']
Ace Ventura: Pet Detective	49	57	1994	['Tom Shadyac']
Kingsman: The Golden Circle	51	64	2017	['Matthew Vaughn']
The Bourne Legacy	55	58	2012	['Tony Gilroy']
Liar Liar	82	75	1997	['Tom Shadyac']
Jumper	15	44	2008	['Doug Liman']
Donnie Brasco	88	89	1997	['Mike Newell']
Insidious	66	62	2010	['James Wan']
Seven Pounds	27	75	2008	['Gabriele Muccino']
Deja Vu	56	73	2006	['Tony Scott']
The Nice Guys	91	79	2016	['Shane Black']
The Wrestler	98	88	2008	['Darren Aronofsky']
Gone with the Wind	90	92	1939	['Victor Fleming', 'George Cukor', 'Sam Wood']
There's Something About Mary	83	61	1998	['Bobby Farrelly', 'Peter Farrelly']
Shrek the Third	42	52	2007	['Chris Miller', 'Raman Hui']
The Hangover Part III	20	44	2013	['Todd Phillips']
Batman Returns	80	73	1992	['Tim Burton']
Death Proof	65	72	2007	['Quentin Tarantino']
Snow White and the Huntsman	49	52	2012	['Rupert Sanders']
The Mist	71	65	2007	['Frank Darabont']
Pirates of the Caribbean: Dead Men Tell No Tales	30	61	2017	['Joachim Rønning', 'Espen Sandberg']
Starship Troopers	66	70	1997	['Paul Verhoeven']
Lawrence of Arabia	93	93	1962	['David Lean']
Apollo 13	96	87	1995	['Ron Howard']
Predestination	84	75	2014	['Michael Spierig', 'Peter Spierig']
Law Abiding Citizen	26	75	2009	['F. Gary Gray']
Now You See Me 2	34	53	2016	['Jon M. Chu']
Terminator Genisys	27	52	2015	['Alan Taylor']
The World's End	89	71	2013	['Edgar Wright']
Hachi: A Dog's Tale	64	84	2009	['Lasse Hallström']
Hereditary	89	68	2018	['Ari Aster']
Fear and Loathing in Las Vegas	50	89	1998	['Terry Gilliam']
28 Weeks Later	71	66	2007	['Juan Carlos Fresnadillo']
Alien: Covenant	65	55	2017	['Ridley Scott']
Green Lantern	26	45	2011	['Martin Campbell']
Forgetting Sarah Marshall	83	76	2008	['Nicholas Stoller']
Panic Room	75	64	2002	['David Fincher']
Kingdom of Heaven	39	72	2005	['Ridley Scott']
Lone Survivor	75	87	2013	['Peter Berg']
Mulan	86	85	1998	['Tony Bancroft', 'Barry Cook']
Superman Returns	75	61	2006	['Bryan Singer']
Zero Dark Thirty	91	80	2012	['Kathryn Bigelow']
Atonement	83	80	2007	['Joe Wright']
Dredd	79	72	2012	['Pete Travis']
Con Air	56	75	1997	['Simon West']
The Royal Tenenbaums	81	89	2001	['Wes Anderson']
Almost Famous	89	92	2000	['Cameron Crowe']
8 Mile	75	54	2002	['Curtis Hanson']
Phone Booth	72	64	2002	['Joel Schumacher']
Stardust	77	86	2007	['Matthew Vaughn']
The Twilight Saga: New Moon	28	61	2009	['Chris Weitz']
2 Fast 2 Furious	36	50	2003	['John Singleton']
Finding Dory	94	84	2016	['Andrew Stanton', 'Angus MacLane']
Incredibles 2	93	84	2018	['Brad Bird']
Olympus Has Fallen	50	66	2013	['Antoine Fuqua']
Midsommar	83	63	2019	['Ari Aster']
John Carter	52	60	2012	['Andrew Stanton']
Some Like It Hot	94	94	1959	['Billy Wilder']
Van Helsing	24	57	2004	['Stephen Sommers']
Mrs. Doubtfire	72	77	1993	['Chris Columbus']
Corpse Bride	84	77	2005	['Tim Burton', 'Mike Johnson']
Road to Perdition	81	86	2002	['Sam Mendes']
Vanilla Sky	42	72	2001	['Cameron Crowe']
The Goonies	77	91	1985	['Richard Donner']
Resident Evil	36	67	2002	['Paul W.S. Anderson']
Dark Shadows	35	46	2012	['Tim Burton']
The Greatest Showman	57	86	2017	['Michael Gracey']
Sully	85	84	2016	['Clint Eastwood']
Underworld	31	79	2003	['Len Wiseman']
Lady Bird	99	79	2017	['Greta Gerwig']
Hulk	62	29	2003	['Ang Lee']
The Place Beyond the Pines	78	75	2012	['Derek Cianfrance']
Annie Hall	96	92	1977	['Woody Allen']
Red Dragon	68	74	2002	['Brett Ratner']
Manchester by the Sea	96	78	2016	['Kenneth Lonergan']
Boogie Nights	93	89	1997	['Paul Thomas Anderson']
Meet the Fockers	38	58	2004	['Jay Roach']
Creed	95	89	2015	['Ryan Coogler']
1408	79	61	2007	['Mikael Håfström']
The Holiday	49	80	2006	['Nancy Meyers']
Gone Baby Gone	94	86	2007	['Ben Affleck']
Dances with Wolves	83	87	1990	['Kevin Costner']
Zoolander	64	80	2001	['Ben Stiller']
Rush Hour	61	78	1998	['Brett Ratner']
RocknRolla	60	71	2008	['Guy Ritchie']
Jerry Maguire	84	79	1996	['Cameron Crowe']
Enemy at the Gates	53	82	2001	['Jean-Jacques Annaud']
Office Space	80	93	1999	['Mike Judge']
Dawn of the Dead	76	77	2004	['Zack Snyder']
Chronicle	85	71	2012	['Josh Trank']
Hook	29	76	1991	['Steven Spielberg']
The Blair Witch Project	86	56	1999	['Daniel Myrick', 'Eduardo Sánchez']
Scary Movie	52	43	2000	['Keenen Ivory Wayans']
Lethal Weapon	80	86	1987	['Richard Donner']
Dog Day Afternoon	96	90	1975	['Sidney Lumet']
True Lies	71	76	1994	['James Cameron']
Paul	70	62	2011	['Greg Mottola']
Vicky Cristina Barcelona	81	74	2008	['Woody Allen']
The Conjuring 2	80	81	2016	['James Wan']
Seven Psychopaths	83	71	2012	['Martin McDonagh']
Warcraft	28	76	2016	['Duncan Jones']
GoldenEye	79	83	1995	['Martin Campbell']
Nocturnal Animals	74	73	2016	['Tom Ford']
Final Destination	35	68	2000	['James Wong']
Rango	88	69	2011	['Gore Verbinski']
Before Sunset	94	92	2004	['Richard Linklater']
BlacKkKlansman	96	83	2018	['Spike Lee']
Perfume: The Story of a Murderer	59	74	2006	['Tom Tykwer']
Blow	55	87	2001	['Ted Demme']
War for the Planet of the Apes	94	84	2017	['Matt Reeves']
Noah	76	41	2014	['Darren Aronofsky']
Hotaru no haka	100	95	1988	['Isao Takahata']
Battleship	34	54	2012	['Peter Berg']
Fantastic Beasts: The Crimes of Grindelwald	36	54	2018	['David Yates']
Megamind	72	72	2010	['Tom McGrath']
Das Boot	98	95	1981	['Wolfgang Petersen']
Bad Boys II	24	78	2003	['Michael Bay']
Chappie	32	56	2015	['Neill Blomkamp']
Grease	76	87	1978	['Randal Kleiser']
Alita: Battle Angel	61	92	2019	['Robert Rodriguez']
Don Jon	80	58	2013	['Joseph Gordon-Levitt']
Wonder Woman 1984	58	73	2020	['Patty Jenkins']
Crank	61	71	2006	['Mark Neveldine', 'Brian Taylor']
Batman Forever	38	32	1995	['Joel Schumacher']
The Fountain	52	74	2006	['Darren Aronofsky']
The Great Escape	94	95	1963	['John Sturges']
Maze Runner: The Scorch Trials	48	54	2015	['Wes Ball']
Sunshine	77	73	2007	['Danny Boyle']
Eastern Promises	89	83	2007	['David Cronenberg']
Walk the Line	82	90	2005	['James Mangold']
Enemy of the State	72	78	1998	['Tony Scott']
The Lobster	87	65	2015	['Yorgos Lanthimos']
End of Watch	85	86	2012	['David Ayer']
Star Trek Beyond	86	80	2016	['Justin Lin']
Identity	62	75	2003	['James Mangold']
Dodgeball: A True Underdog Story	71	76	2004	['Rawson Marshall Thurber']
Hotel Transylvania	45	72	2012	['Genndy Tartakovsky']
Escape Plan	50	55	2013	['Mikael Håfström']
First Blood	85	85	1982	['Ted Kotcheff']
Valkyrie	62	65	2008	['Bryan Singer']
The Intern	59	73	2015	['Nancy Meyers']
The Bucket List	41	77	2007	['Rob Reiner']
Elf	85	79	2003	['Jon Favreau']
The Artist	95	87	2011	['Michel Hazanavicius']
Ghost Rider	26	47	2007	['Mark Steven Johnson']
