title	themes	movie_moods	keywords	date	directors
Braveheart	['Triumph of the Spirit']	['Heroic Mission', 'Political Unrest', 'Crowned Heads', 'Social Injustice']	['freedom', 'Scotland', 'English[nationality]', 'king', 'rebel', 'hero', 'princess', 'war']	1995	['Mel Gibson']
The Dark Knight Rises	['A World of Its Own', 'Adrenaline Rush']	['Heroic Mission', 'Double Life', 'Race Against Time', 'Terrorism']	['anarchy', 'nuclear-weapon', 'police-commissioner', 'police-detective', 'prison', 'punishment', 'return', 'Superhero', 'crimefighter', 'revenge']	2012	['Christopher Nolan']
Interstellar	['Adrenaline Rush', 'Other Dimensions']	['End of the World', 'Fathers and Daughters', 'Heroic Mission', 'Race Against Time', 'Robots and Androids', 'Space Travel', 'Time Travel']	['astronaut', 'astrophysics', 'black-hole', 'daughter', 'father', 'galaxy', 'intergalactic', 'mankind', 'NASA', 'outer-space', 'physics', 'Saturn', 'scientist', 'solar-system', 'space-travel', 'time-warp', 'dimension-travel']	2014	['Christopher Nolan']
Iron Man	['Adrenaline Rush']	['Robots and Androids', 'Heroic Mission', 'Experiments Gone Awry', 'Terrorism']	['industrialist', 'philanthropy', 'robot', 'billionaire']	2008	['Jon Favreau']
Star Wars: Episode VI - Return of the Jedi	['Adrenaline Rush', 'Other Dimensions']	['Daring Rescues', 'Heroic Mission', 'Redemption', 'Space Wars']	['good-vs-evil', 'rebel', 'battle[war]', 'kidnapping', 'bounty-hunter', 'princess', 'rescue', 'alien[not', 'human]', 'android', 'robot', 'spacecraft']	1983	['Richard Marquand']
Pirates of the Caribbean: The Curse of the Black Pearl	['Adrenaline Rush', 'Fantastic Reality']	['Pirates', 'Ghosts', 'Curses and Spells', 'Daring Rescues']	['ghost-ship', 'captain[ship]', 'curse', 'damsel-in-distress', 'galleon', 'pirate[seafarer]', 'swashbuckler']	2003	['Gore Verbinski']
The Usual Suspects	['Nail-biters', 'Head Trips']	['Cons and Scams', 'Mind Games', 'Crime Gone Awry', 'Assumed Identities', 'Hotshots']	['mastermind', 'jewel-robbery', 'police-detective', 'drugs', 'explosion', 'harbor', 'interrogator', 'ship']	1995	['Bryan Singer']
WALL·E	['Young and Old Alike']	['Robots and Androids', 'Race Against Time']	['earth', 'future', 'robot', 'space', 'garbage']	2008	['Andrew Stanton']
Terminator 2: Judgment Day	['Adrenaline Rush', 'Eyepoppers', 'Tough Guys']	['Robots and Androids', 'End of the World', 'Great Battles', 'Heroic Mission', 'Metamorphosis', 'Post-Apocalypse', 'Time Travel']	['bodyguard', 'rebel-leader', 'cyborg', 'killler-robot', 'on-the-run', 'son', 'killing', 'good-vs-evil', 'savior', 'friendship', 'time-travel']	1991	['James Cameron']
The Godfather	['Tough Guys']	['Rise To Power', 'Fathers and Sons', 'Mafia Life']	['organized-crime', 'mob-boss', 'gangster', 'Italian-American', 'son', 'assassination', 'cop-killer', 'family', 'lawyer', 'wedding']	1972	['Francis Ford Coppola']
The Truman Show	['Only Human', 'Comedy on the Edge']	['Voyeurs', 'Existential Crisis', 'Innocence Lost']	['actor', 'escape', 'freedom', 'life', 'reality-television', 'television', 'water']	1998	['Peter Weir']
Inglourious Basterds	['Tough Guys']	['Behind Enemy Lines', 'Heroic Mission', 'Life Under Occupation', 'Out For Revenge']	['French[nationality]', 'Jewish', 'movie', 'Nazi', 'occupation[military]', 'revenge', 'mission[quest]']	2009	['Quentin Tarantino']
Batman Begins	['Adrenaline Rush']	['Double Life', 'Haunted By the Past', 'Dropping Out', 'Heroic Mission', 'Ninjas']	['Superhero', 'crimefighting', 'mask[disguise]', 'secret-identity', 'disguise', 'teacher', 'bat[animal]', 'gadgets', 'cave', 'tank[vehicle]']	2005	['Christopher Nolan']
Joker	['Abandon All Hope', 'Adrenaline Rush']	['Assassination Plots', 'Disfigured Criminals', 'Haunted By the Past', 'Mental Breakdown', 'Mental Illness', 'Misfits and Outsiders', 'Out For Revenge', 'Thrill Crime']	['asylum[mental', 'hospital]', 'clown', 'mental-illness', 'murder', 'stand-up-comedy', 'villain']	2019	['Todd Phillips']
Goodfellas	['Tough Guys', 'Unloveables']	['Rise and Fall Stories', 'Mafia Life', 'Faltering Friendships', 'Witness Protection']	['betrayal', 'business', 'cigarette', 'family', 'friendship', 'gangster', 'informer', 'killing', 'maniac', 'robbery', 'smuggling', 'Witness-Protection-Program']	1990	['Martin Scorsese']
V for Vendetta	['A World of Its Own', 'Adrenaline Rush']	['Totalitarian States', 'Future Dystopias', 'Fighting the System', 'Vigilantes', 'Terrorism', 'Social Injustice']	['assassination', 'Fascism', 'freedom-fighter', 'guerrilla', 'resistance-fighters', 'totalitarianism']	2005	['James McTeigue']
Guardians of the Galaxy	['Just for Fun']	['Heroic Mission', 'Race Against Time', 'Space Wars', 'Space Travel', 'Unlikely Friendships']	['galaxy', 'guardian']	2014	['James Gunn']
American History X	['Abandon All Hope', 'Button Pushers']	['Race Relations', 'Social Injustice', 'Going Straight', 'Prison Life', 'Sibling Relationships', 'Street Gangs']	['Neo-Nazi', 'prison', 'brother', 'racism', 'rape', 'redemption', 'teenagers', 'violence', 'conviction', 'murder', 'friendship', 'white-supremacy']	1998	['Tony Kaye']
Titanic	['A Good Cry', 'In the Mood for Love']	['Disasters at Sea', 'Ship Cruises', 'Star-Crossed Lovers', 'Class Differences', 'Otherwise Engaged']	['love', 'sea-disaster', 'star-crossed-lovers', 'shipwreck', 'necklace', 'survivor', 'drawing[art]', 'drowning', 'rescue', 'class-consciousness', 'iceberg', 'ill-fated']	1997	['James Cameron']
Back to the Future	['Fantastic Reality', 'Gutbusters']	['Time Travel', 'Race Against Time', 'Finding a Way Back Home', 'Fish Out of Water', 'Inventors', 'Mad Scientists']	['time-machine', 'time-travel', 'past', 'family', 'scientist', 'teenagers', 'bully', 'love-choices', 'father', 'romance', 'self-confidence']	1985	['Robert Zemeckis']
Avatar	['Eyepoppers', 'Other Dimensions']	['Chosen One', 'Crisis of Conscience', 'Heroic Mission', 'Space Wars', 'Switching Sides']	['experiment', 'cross-cultural-relations', 'genetic-engineering', 'indigenous-peoples', 'invasion', 'native-uprising', 'twins']	2009	['James Cameron']
Memento	['Head Trips']	['Haunted By the Past', 'Amnesia', 'Obsessive Quests', 'Femmes Fatales', 'Mistaken Identities']	['amnesia', 'revenge', 'head-injury', 'obsession', 'femme-fatale', 'murder', 'mistaken-identity', 'rape', 'tattoo']	2000	['Christopher Nolan']
Léon	['Nail-biters']	['Protecting the Innocent', 'Orphans', 'Hired Killers', 'Unlikely Friendships', 'Innocence Lost']	['hitman', 'corruption', 'DEA', '(Drug', 'Enforcement', 'Agency)', 'gangster', 'girl', 'partner', 'relationship']	1994	['Luc Besson']
The Green Mile	['Fantastic Reality']	['Death Row', 'Psychic Abilities', 'Prison Life', 'Social Injustice']	['prison-guard', 'criminal', 'death-row', 'electric-chair', 'healing', 'warden', 'mouse[animal]', 'cure', 'killer']	1999	['Frank Darabont']
American Beauty	['Angsty']	['Midlife Crises', 'Suburban Dysfunction', 'Crumbling Marriages', 'Dysfunctional Families', 'Fired or Laid-Off', 'Parenthood']	['mid-life-crisis', 'repression', 'suburbs', 'extramarital-affair', 'family', 'family-strife', 'marital-problems', 'obsession']	1999	['Sam Mendes']
Shutter Island	['Head Trips']	['Doctors and Patients', 'Haunted By the Past', 'Mental Breakdown', 'Missing Persons', 'Trapped or Confined']	['doctor/nurse', 'mental-institution', 'island', 'marshal', 'search']	2010	['Martin Scorsese']
The Godfather: Part II	['Tough Guys']	['Mafia Life', 'Rise To Power', 'Immigrant Life', 'Scandals and Cover-Ups', 'Sibling Relationships', 'Crumbling Marriages']	['organized-crime', 'Italian-American', 'business', 'family', 'mob-boss', 'assassination', 'corruption', 'Cuba', 'gangster', 'immigrant', 'brother', 'informer']	1974	['Francis Ford Coppola']
Star Wars: Episode V - The Empire Strikes Back	['Adrenaline Rush', 'Other Dimensions']	['Bounty Hunters', 'Daring Rescues', 'Heroic Mission', 'Mentors', 'Robots and Androids', 'Space Wars']	['good-vs-evil', 'dictator', 'domination-of-universe', 'oppression', 'empire', 'quest', 'rebel', 'revolution', 'supernatural-forces', 'war', 'warrior', 'mentor', 'wisdom', 'alien[not', 'human]', 'android', 'robot', 'spacecraft', 'starship', 'family']	1980	['Irvin Kershner']
The Prestige	['Spellbinders']	['Keeping a Secret', 'Wizards and Magicians']	['magic', 'rival', 'secrets']	2006	['Christopher Nolan']
Forrest Gump	['Memory Lane', 'Triumph of the Spirit']	['Saintly Fools', 'Rags To Riches', 'Mothers and Sons', 'Unrequited Love']	['mental-retardation', 'friendship', 'love', 'war', 'family', 'handicap', 'football', 'ping-pong', 'running', 'shrimp', 'underdog']	1994	['Robert Zemeckis']
The Departed	['Adrenaline Rush', 'Slow Burn']	['Double Life', 'Going Undercover', 'Police Corruption', 'Mind Games', 'One Against the Mob']	['gangster', 'mob-boss', 'organized-crime', 'police-corruption', 'undercover']	2006	['Martin Scorsese']
Schindler's List	['Food for Thought', 'Triumph of the Spirit']	['Crimes Against Humanity', 'Switching Sides', 'Heroic Mission', 'Protecting the Innocent', 'Redemption', 'Righting the Wronged']	['Holocaust', 'Jewish', 'concentration-camp', 'factory', 'German[nationality]', 'Nazi', 'Polish[nationality]', 'rescue', 'war', 'ghetto', 'survivor', 'worker']	1993	['Steven Spielberg']
Kill Bill: Vol. 1	['Adrenaline Rush', 'Eyepoppers']	['Out For Revenge', 'Hired Killers', 'Ninjas', 'Yakuza']	['assassination', 'bride', 'femme-fatale', 'hospital', 'martial-arts', 'massacre', 'mother', 'prostitute/prostitution', 'revenge', 'sniper', 'swordfight']	2003	['Quentin Tarantino']
Fight Club	['Head Trips', 'Eyepoppers']	['Dangerous Friends', 'Cults', 'Existential Crisis', 'Fighting the System', 'Split Personalities', 'Terrorism']	['alienation', 'identity-crisis', 'support-group', 'fight', 'love-triangle', 'materialism', 'terrorism', 'underground[counterculture]', 'bombing']	1999	['David Fincher']
Pulp Fiction	['Tough Guys', 'Comedy on the Edge']	['Hired Killers', 'Cons and Scams', 'Hostage Situations', 'Thrill Crime']	['gangster', 'hitman', 'mob-boss', 'Bible', 'dance-hall', 'diner', 'boxing']	1994	['Quentin Tarantino']
The Matrix	['Abandon All Hope', 'Adrenaline Rush', 'Other Dimensions']	['Virtual Reality', 'Heroic Mission', 'Chosen One', 'Fighting the System', 'Future Dystopias', 'Technology Run Amok', 'Computer Paranoia', 'Post-Apocalypse']	['virtual-reality', 'imprisonment', 'battle[war]', 'hacker', 'computers', 'man-vs-machine']	1999	['Lana Wachowski', 'Lilly Wachowski']
The Wolf of Wall Street	['Button Pushers']	['Rise and Fall Stories', 'Hotshots', 'Office Politics', 'Work Ethics']	['business', 'business-ethics', 'banking', 'hedonism', 'Wall-Street']	2013	['Martin Scorsese']
Avengers: Endgame	['Fantastic Reality']	['Heroic Mission']	['battle[war]', 'Superhero', 'time-travel', 'universe', 'villain', 'war']	2019	['Anthony Russo', 'Joe Russo']
The Sixth Sense	['Spellbinders', 'Head Trips']	['Psychic Abilities', 'Ghosts', 'Mothers and Sons', 'Haunted By the Past']	['child', 'ghost', 'obsession', 'paranormal', 'patient[medical]', 'psychic', 'psychology', 'trauma']	1999	['M. Night Shyamalan']
Mad Max: Fury Road	['Adrenaline Rush']	['Car Racing', 'Daring Rescues', 'Fighting the System', 'Future Barbarians', 'Lone Wolves', 'Misfits and Outsiders', 'Mutants', 'On the Run', 'One Against the Mob', 'Post-Apocalypse']	['Australia', 'chase', 'crash', 'desert', 'escape', 'post-apocalypse']	2015	['George Miller']
Toy Story	['Pick-Me-Ups', 'Young and Old Alike']	['Daring Rescues', 'Heroic Mission', 'Unlikely Heroes', 'Toys Come to Life']	['toy', 'friendship', 'rescue', 'good-guy', 'resourcefulness', 'bad-guy', 'good-vs-evil', 'rival', 'fantasy', 'reality']	1995	['John Lasseter']
Up	['Pick-Me-Ups', 'Triumph of the Spirit', 'Young and Old Alike']	['Death of a Partner', 'Obsessive Quests', 'Unlikely Friendships']	['adventurer', 'birds', 'Boy-Scout', 'senior-citizen', 'widow/widower']	2009	['Pete Docter', 'Bob Peterson']
Raiders of the Lost Ark	['Adrenaline Rush']	['Heroic Mission', 'Priceless Artifacts and Prized Objects', 'Treasure Hunts']	['hero', 'snake', 'escape', 'good-vs-evil', 'treasure', 'villain', 'artifact', 'chase', 'danger', 'globetrotter', 'journey', 'Nazism', 'search', 'against-all-odds', 'archaeology', 'evil', 'jungle', 'mercenary', 'love', 'romance']	1981	['Steven Spielberg']
Inception	['Other Dimensions']	['Mind Games', 'On the Run', 'Perfect Crime']	['dreams', 'espionage', 'guilt', 'thief']	2010	['Christopher Nolan']
Avengers: Infinity War	['A World of Its Own', 'Adrenaline Rush']	['Future Barbarians', 'Heroic Mission', 'Mutants']	['adventure', 'battle[war]', 'comic-strip', 'fantasy', 'space', 'Superhero', 'villain']	2018	['Anthony Russo', 'Joe Russo']
The Shining	['Fantastic Reality', 'Nail-biters', 'Spellbinders']	"['Psychic Abilities', 'Trapped or Confined', ""Writer's Life""]"	['killing', 'maniac', 'family', 'psychic', 'evil', 'hotel', 'isolation', 'snowbound', 'Winter', 'alcoholism', 'ghost', 'writing']	1980	['Stanley Kubrick']
The Lion King	['Young and Old Alike']	['Haunted By the Past', 'Redemption', 'Death of a Parent', 'Fathers and Sons']	['coming-of-age', 'hero', 'journey', 'jungle', 'king', 'legacy', 'lion', 'throne', 'villain', 'warthog']	1994	['Roger Allers', 'Rob Minkoff']
One Flew Over the Cuckoo's Nest	['Triumph of the Spirit']	['Doctors and Patients', 'Fighting the System', 'Mental Illness', 'Wrongly Committed']	['personnel', 'convict', 'craziness', 'doctor/nurse', 'escape', 'human-rights', 'mental-illness', 'mental-institution', 'patient[medical]', 'rebel', 'suicide', 'suicide-attempt', 'troublemaker']	1975	['Milos Forman']
Deadpool	['Adrenaline Rush', 'Comedy on the Edge', 'Just for Fun']	['Experiments Gone Awry', 'Misfits and Outsiders', 'Out For Revenge', 'Unlikely Heroes', 'Vigilantes']	['anti-hero', 'comedian', 'humor', 'mercenary', 'Superhero']	2016	['Tim Miller']
Eternal Sunshine of the Spotless Mind	['Fantastic Reality', 'In the Mood for Love']	['Breakups and Divorces', 'Amnesia', 'Crumbling Marriages', 'Experiments Gone Awry', 'Love Triangles', 'Mind Games']	['amnesia', 'brain-surgery', 'break-up[romantic]', 'ex-girlfriend', 'heartbreak', 'love-at-first-sight', 'love-triangle', 'memory']	2004	['Michel Gondry']
Finding Nemo	['Pick-Me-Ups', 'Young and Old Alike']	['Fathers and Sons', 'Getting Along [k]', 'Finding a Way Back Home', 'Daring Rescues', 'Heroic Mission', 'Body Image and Self-Esteem']	['fish[animal]', 'separation', 'ocean', 'parent/child-relationship', 'talking-animal', 'father', 'journey', 'son']	2003	['Andrew Stanton', 'Lee Unkrich']
Reservoir Dogs	['Tough Guys', 'Nail-biters']	['Crime Gone Awry', 'Dishonor Among Thieves', 'Going Undercover']	['gangster', 'jewel-robbery', 'hostage', 'police-officer', 'warehouse', 'torture', 'traitor', 'undercover']	1992	['Quentin Tarantino']
The Dark Knight	['A World of Its Own', 'Abandon All Hope']	['Disfigured Criminals', 'Police Corruption', 'Heroic Mission', 'Double Life']	['mask[disguise]', 'secret-identity', 'disguise', 'crimefighter', 'Superhero', 'clown']	2008	['Christopher Nolan']
Avengers: Age of Ultron	['Adrenaline Rush']	['Heroic Mission']	['aircraft-carrier', 'billionaire', 'soldier', 'Superhero', 'team']	2015	['Joss Whedon']
Whiplash	['In a Minor Key', 'Unloveables']	"['Teachers and Students', ""Musician's Life"", 'Mind Games']"	['band[music', 'group]', 'drummer', 'instructor', 'jazz', 'passion', 'perfection', 'torment']	2014	['Damien Chazelle']
Requiem for a Dream	['Abandon All Hope', 'Uncomfortable Viewing']	['Drug Addiction', 'Down on Their Luck', 'Mothers and Sons', 'Self-Destructive Romance']	['drug-addiction', 'diet-pills', 'drug-dealer', 'heroin', 'refrigerator', 'television', 'television-show']	2000	['Darren Aronofsky']
Star Wars: Episode I - The Phantom Menace	['Adrenaline Rush', 'Other Dimensions']	['Heroic Mission', 'Robots and Androids', 'Space Wars']	['apprentice', 'deception', 'evil', 'fight', 'intergalactic', 'knight', 'myth', 'queen[royalty]', 'Senator', 'slavery', 'spacecraft']	1999	['George Lucas']
300	['Eyepoppers', 'Tough Guys']	['Great Battles', 'Heroic Mission']	['against-all-odds', 'army', 'battle[war]', 'Greece']	2006	['Zack Snyder']
Iron Man 2	['Adrenaline Rush']	['Out For Revenge', 'Robots and Androids', 'Technology Run Amok', 'Faltering Friendships']	['Superhero', 'billionaire', 'nemesis', 'revenge', 'robot', 'whip[weapon]', 'grand-prix', 'Senator', 'father', 'Russian[nationality]', 'weapons', 'industrialist', 'philanthropy']	2010	['Jon Favreau']
Donnie Darko	['Fantastic Reality', 'Spellbinders']	['Fantasy Life', 'Time Travel', 'First Love', 'High School Life']	['schizophrenia', 'time-travel', 'end-of-the-world', 'hallucination', 'plane-crash', 'prep-school', 'suburbs', 'vision[mystical]', 'psychiatrist', 'rabbit', 'doomsayer', 'motivational-speaker']	2001	['Richard Kelly']
The Big Lebowski	['Comedy on the Edge']	['Amateur Sleuths', 'Bowling', 'Mistaken Identities']	['bowling', 'kidnapping', 'veteran[military]', 'artist', 'carpeting', 'danger', 'dream', 'marijuana', 'millionaire', 'mistaken-identity', 'pornography', 'wheelchair']	1998	['Joel Coen', 'Ethan Coen']
Captain America: The Winter Soldier	['For Love of Country', 'Tough Guys']	['Heroic Mission', 'Time Sleepers']	['serum', 'soldier', 'Superhero']	2014	['Anthony Russo', 'Joe Russo']
Scarface	['Adrenaline Rush', 'Tough Guys']	['Drug Addiction', 'Drug Trade', 'Rise and Fall Stories']	['cocaine', 'drug-lord', 'drugs', 'gang-war', 'gangster', 'immigrant', 'mob-boss', 'sister', 'Cuba', 'addiction']	1983	['Brian De Palma']
Taxi Driver	['Abandon All Hope']	['Assassination Plots', 'Obsessive Quests', 'Inner City Blues', 'Prostitutes', 'Unrequited Love']	['antisocial-behavior', 'assassination', 'cab-driver', 'killing-spree', 'mental-illness', 'prostitute/prostitution', 'urban-problems', 'veteran[military]']	1976	['Martin Scorsese']
The Hobbit: An Unexpected Journey	['Other Dimensions']	['Fantasy Lands', 'Heroic Mission', 'Wizards and Magicians']	['dragon', 'dwarf', 'elf', 'goblin', 'mountains', 'quest', 'ring[jewelry]', 'sword', 'troll']	2012	['Peter Jackson']
A Clockwork Orange	['A World of Its Own', 'Head Trips']	['Future Dystopias', 'Experiments Gone Awry']	['future', 'gang-leader', 'life-of-crime', 'sociopath', 'crime-spree', 'murder', 'rape', 'experiment', 'mind-control']	1971	['Stanley Kubrick']
Thor	['A World of Its Own', 'Adrenaline Rush']	['Fantasy Lands', 'Fathers and Sons', 'Great Battles', 'Mythical Creatures']	['gods', 'brother', 'mythological-legends', 'punishment']	2011	['Kenneth Branagh']
The Martian	['Triumph of the Spirit']	['Heroic Mission', 'Race Against Time', 'Space Travel', 'Stranded']	['astronaut', 'deadline', 'survival', 'Mars', 'rescue']	2015	['Ridley Scott']
Toy Story 3	['Just for Fun', 'Young and Old Alike']	['Fantasy Lands', 'Finding a Way Back Home', 'On the Run', 'Toys Come to Life']	['day-care', 'escape', 'toy', 'teddy-bear', 'college']	2010	['Lee Unkrich']
Intouchables	['Food for Thought', 'Only Human']	['Class Differences', 'Living With Disability', 'Race Relations', 'Unlikely Friendships']	['bonding[relationship]', 'caregiver', 'friendship', 'interracial', 'paraplegic', 'self-discovery']	2011	['Olivier Nakache', 'Éric Toledano']
Captain America: The First Avenger	['Adrenaline Rush', 'For Love of Country', 'Tough Guys']	['Experiments Gone Awry', 'Great Battles', 'Heroic Mission', 'Time Sleepers', 'Unlikely Heroes']	['serum', 'soldier', 'Superhero']	2011	['Joe Johnston']
Snatch	['Just for Fun', 'Tough Guys']	['Cons and Scams', 'Boxers', 'Nothing Goes Right']	['double-cross', 'fighter', 'gangster', 'gypsy', 'jewel-robbery', 'wager', 'diamond']	2000	['Guy Ritchie']
Harry Potter and the Deathly Hallows: Part 2	['Fantastic Reality', 'Other Dimensions', 'Young and Old Alike']	['Boarding School Life', 'Wizards and Magicians']	['boarding-school', 'magic', 'witchcraft', 'wizard']	2011	['David Yates']
Slumdog Millionaire	['Pick-Me-Ups']	"['Underdogs', ""Clearing One's Name"", 'Orphans', 'Rags To Riches']"	['childhood', 'India', '(subcontinent)', 'orphan', 'slums', 'game-show', 'jackpot', 'street-kid']	2008	['Danny Boyle', 'Loveleen Tandan']
Die Hard	['Adrenaline Rush', 'Tough Guys']	['Daring Rescues', 'Hostage Situations', 'Race Against Time', 'Rogue Cops', 'Terrorism', 'Unlikely Heroes']	['hostage', 'captor', 'high-rise', 'police-negotiator', 'rescue', 'marital-problems', 'one-against-odds', 'captive', 'escape', 'police', 'terrorism']	1988	['John McTiernan']
Alien	['Nail-biters', 'Other Dimensions']	['Evil Aliens', 'Space Travel', 'Robots and Androids']	['man-vs-aliens', 'escape', 'trapped', 'spacecraft', 'parasite', 'alien[not', 'human]', 'creature', 'intergalactic', 'monster']	1979	['Ridley Scott']
A Beautiful Mind	['Triumph of the Spirit']	['Tortured Genius', 'Redemption', 'Mental Illness', 'Rise and Fall Stories', 'Double Life', 'Doctors and Patients']	['genius', 'mental-breakdown', 'schizophrenia', 'code-breaking', 'husband-and-wife', 'mathematics', 'mental-illness', 'Nobel-Prize', 'paranoia', 'prodigy', 'marital-problems', 'shock-therapy', 'CIA', '(Central-Intelligence-Agency)']	2001	['Ron Howard']
The Terminator	['Adrenaline Rush', 'Tough Guys']	['Future Dystopias', 'Robots and Androids', 'Time Travel', 'Totalitarian States']	['man-vs-machine', 'cyborg', 'killing', 'killler-robot', 'on-the-run', 'rebel-leader', 'technology', 'time-travel', 'protection', 'unborn-child', 'future', 'post-nuclear-holocaust']	1984	['James Cameron']
The Hunger Games	['Adrenaline Rush', 'Food for Thought']	"['Contests, Pageants and Competitions', ""Criminal's Revenge"", 'Future Dystopias', 'Post-Apocalypse']"	['teenagers', 'tournament']	2012	['Gary Ross']
Catch Me If You Can	['Comedy on the Edge', 'Pick-Me-Ups']	['Cons and Scams', 'Unlikely Criminals', 'Assumed Identities', 'Breakups and Divorces', 'Fathers and Sons', 'Hotshots', 'Kids in Trouble']	['assumed-identity', 'cat-and-mouse', 'con/scam', 'FBI', '(Federal', 'Bureau', 'of', 'Investigation)', 'forgery', 'fraud', 'get-rich-quick-scheme', 'impostor', 'doctor', 'pilot']	2002	['Steven Spielberg']
Good Will Hunting	['Food for Thought', 'Pick-Me-Ups', 'Triumph of the Spirit']	"['Haunted By the Past', 'Underdogs', 'Class Differences', 'Child Prodigies', 'College Life', ""Men's Friendship"", 'Mentors', 'Teachers and Students', 'Therapy', 'Tortured Genius', 'Redemption']"	['abuse', 'friendship', 'genius', 'girlfriend', 'man', 'mathematics', 'professor', 'therapist']	1997	['Gus Van Sant']
Star Wars: Episode VII - The Force Awakens	['Adrenaline Rush', 'Other Dimensions']	['Heroic Mission', 'Robots and Androids', 'Space Wars']	['episode', 'interplanetary', 'outer-space', 'planet', 'saga', 'space-battle']	2015	['J.J. Abrams']
Iron Man Three	['Adrenaline Rush']	['Robots and Androids', 'Heroic Mission', 'Terrorism']	['America', 'bomb', 'haunted', 'Superhero', 'terrorism', 'terrorist', 'villain', 'billionaire', 'robot', 'suit']	2013	['Shane Black']
Monsters, Inc.	['Fantastic Reality', 'Pick-Me-Ups']	['Fighting the System', 'Being Trustworthy [k]', 'Daring Rescues', 'Faltering Friendships', 'Unlikely Friendships']	['monster', 'childhood', 'fantasy-world', 'friendship', 'beast', 'childhood-friend', 'creature', 'fantasy', 'fear', 'fish-out-of-water', 'kidnapping', 'love', 'on-the-run', 'youth', 'eye', 'invisibility', 'villain']	2001	['Pete Docter', 'David Silverman', 'Lee Unkrich']
Il buono, il brutto, il cattivo	['Tough Guys']	['Bounty Hunters', 'Lone Wolves', 'Hired Killers', 'Political Unrest', 'Treasure Hunts']	['outlaw[Western]', 'bad-guy', 'con/scam', 'gold', 'good-guy', 'hanging', 'partner', 'search', 'treasure', 'Civil-War[US]', 'friendship', 'lynching']	1966	['Sergio Leone']
